SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
1.000000;9;2712;1.641304;502;502;502;502;0;502;0;0;0
1.200000;9;2712;1.641304;502;502;502;502;0;502;0;0;0
1.400000;9;2712;1.641304;502;502;496;502;0;496;0;0;0
1.600000;9;2712;1.641304;502;502;479;502;0;479;0;0;0
1.800000;9;2712;1.641304;502;502;428;502;0;428;0;0;0
2.000000;9;2712;1.641304;502;502;340;502;0;340;0;0;0
2.200000;9;2712;1.641304;502;502;234;502;0;234;0;0;0
2.400000;9;2712;1.641304;502;502;137;502;0;137;0;0;0
2.600000;9;2712;1.641304;502;502;53;502;0;53;0;0;0
2.800000;9;2712;1.641304;502;502;24;502;0;24;0;0;0
3.000000;9;2712;1.641304;502;502;14;502;0;14;0;0;0
3.200000;9;2712;1.641304;502;502;3;502;0;3;0;0;0
3.400000;9;2712;1.641304;502;502;0;502;0;0;0;0;0
3.600000;9;2712;1.641304;502;502;0;502;0;0;0;0;0
3.800000;9;2712;1.641304;502;502;0;502;0;0;0;0;0
4.000000;9;2712;1.641304;496;502;0;496;0;0;0;0;0
4.200000;9;2712;1.641304;471;502;0;471;0;0;0;0;0
4.400000;9;2712;1.641304;428;502;0;428;0;0;0;0;0
4.600000;9;2712;1.641304;358;502;0;358;0;0;0;0;0
4.800000;9;2712;1.641304;275;502;0;275;0;0;0;0;0
5.000000;9;2712;1.641304;177;502;0;177;0;0;0;0;0
5.200000;9;2712;1.641304;100;528;0;100;0;0;0;0;0
5.400000;9;2712;1.641304;69;1000;0;69;0;0;0;0;0
5.600000;9;2712;1.641304;38;1000;0;38;0;0;0;0;0
5.800000;9;2712;1.641304;15;1000;0;15;0;0;0;0;0
6.000000;9;2712;1.641304;10;1000;0;10;0;0;0;0;0
6.200000;9;2712;1.641304;2;1000;0;2;0;0;0;0;0
