SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
-4.000000;4;1200;0.728261;502;502;502;502;349;502;8;349;0
-3.800000;4;1200;0.728261;502;502;502;502;239;502;2;239;0
-3.600000;4;1200;0.728261;502;502;501;502;130;501;0;130;0
-3.400000;4;1200;0.728261;502;502;498;502;57;498;0;57;0
-3.200000;4;1200;0.728261;502;502;491;502;17;491;0;17;0
-3.000000;4;1200;0.728261;502;502;456;502;5;456;0;5;0
-2.800000;4;1200;0.728261;502;502;389;502;1;389;0;1;0
-2.600000;4;1200;0.728261;502;502;314;502;0;314;0;0;0
-2.400000;4;1200;0.728261;502;502;189;502;0;189;0;0;0
-2.200000;4;1200;0.728261;502;502;114;502;0;114;0;0;0
-2.000000;4;1200;0.728261;502;502;46;502;0;46;0;0;0
-1.800000;4;1200;0.728261;502;502;14;502;0;14;0;0;0
-1.600000;4;1200;0.728261;502;502;3;502;0;3;0;0;0
-1.400000;4;1200;0.728261;501;502;5;501;0;5;0;0;0
-1.200000;4;1200;0.728261;500;502;0;500;0;0;0;0;0
-1.000000;4;1200;0.728261;488;502;0;488;0;0;0;0;0
-0.800000;4;1200;0.728261;461;502;0;461;0;0;0;0;0
-0.600000;4;1200;0.728261;408;502;0;408;0;0;0;0;0
-0.400000;4;1200;0.728261;351;502;0;351;0;0;0;0;0
-0.200000;4;1200;0.728261;261;502;0;261;0;0;0;0;0
0.000000;4;1200;0.728261;148;502;0;148;0;0;0;0;0
0.200000;4;1200;0.728261;103;502;0;103;0;0;0;0;0
0.400000;4;1200;0.728261;97;1000;0;97;0;0;0;0;0
0.600000;4;1200;0.728261;21;1000;0;21;0;0;0;0;0
0.800000;4;1200;0.728261;13;1000;0;13;0;0;0;0;0
1.000000;4;1200;0.728261;2;1000;0;2;0;0;0;0;0
