SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
11.000000;19;6184;3.735507;502;502;502;502;0;502;0;0;0
11.200000;19;6184;3.735507;502;502;500;502;0;500;0;0;0
11.400000;19;6184;3.735507;502;502;491;502;0;491;0;0;0
11.600000;19;6184;3.735507;502;502;451;502;0;451;0;0;0
11.800000;19;6184;3.735507;502;502;364;502;0;364;0;0;0
12.000000;19;6184;3.735507;502;502;244;502;0;244;0;0;0
12.200000;19;6184;3.735507;502;502;124;502;0;124;0;0;0
12.400000;19;6184;3.735507;502;502;43;502;0;43;0;0;0
12.600000;19;6184;3.735507;502;502;26;502;0;26;0;0;0
12.800000;19;6184;3.735507;502;502;4;502;0;4;0;0;0
13.000000;19;6184;3.735507;502;502;1;502;0;1;0;0;0
13.200000;19;6184;3.735507;502;502;1;502;0;1;0;0;0
13.400000;19;6184;3.735507;502;502;0;502;0;0;0;0;0
13.600000;19;6184;3.735507;502;502;0;502;0;0;0;0;0
13.800000;19;6184;3.735507;501;502;0;501;0;0;0;0;0
14.000000;19;6184;3.735507;500;502;0;500;0;0;0;0;0
14.200000;19;6184;3.735507;478;502;0;478;0;0;0;0;0
14.400000;19;6184;3.735507;438;502;0;438;0;0;0;0;0
14.600000;19;6184;3.735507;342;502;0;342;0;0;0;0;0
14.800000;19;6184;3.735507;225;502;0;225;0;0;0;0;0
15.000000;19;6184;3.735507;127;502;0;127;0;0;0;0;0
15.200000;19;6184;3.735507;100;927;0;100;0;0;0;0;0
15.400000;19;6184;3.735507;45;1000;0;45;0;0;0;0;0
15.600000;19;6184;3.735507;7;1000;0;7;0;0;0;0;0
