SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
-2.000000;6;1800;1.090580;502;502;502;502;77;502;0;77;0
-1.800000;6;1800;1.090580;502;502;502;502;23;502;0;23;0
-1.600000;6;1800;1.090580;502;502;501;502;4;501;0;4;0
-1.400000;6;1800;1.090580;502;502;496;502;0;496;0;0;0
-1.200000;6;1800;1.090580;502;502;476;502;0;476;0;0;0
-1.000000;6;1800;1.090580;502;502;421;502;0;421;0;0;0
-0.800000;6;1800;1.090580;502;502;339;502;0;339;0;0;0
-0.600000;6;1800;1.090580;502;502;212;502;0;212;0;0;0
-0.400000;6;1800;1.090580;502;502;113;502;0;113;0;0;0
-0.200000;6;1800;1.090580;502;502;51;502;0;51;0;0;0
-0.000000;6;1800;1.090580;502;502;11;502;0;11;0;0;0
0.200000;6;1800;1.090580;502;502;2;502;0;2;0;0;0
0.400000;6;1800;1.090580;501;502;0;501;0;0;0;0;0
0.600000;6;1800;1.090580;502;502;0;502;0;0;0;0;0
0.800000;6;1800;1.090580;498;502;0;498;0;0;0;0;0
1.000000;6;1800;1.090580;493;502;0;493;0;0;0;0;0
1.200000;6;1800;1.090580;462;502;0;462;0;0;0;0;0
1.400000;6;1800;1.090580;418;502;0;418;0;0;0;0;0
1.600000;6;1800;1.090580;327;502;0;327;0;0;0;0;0
1.800000;6;1800;1.090580;212;502;0;212;0;0;0;0;0
2.000000;6;1800;1.090580;130;502;0;130;0;0;0;0;0
2.200000;6;1800;1.090580;100;684;0;100;0;0;0;0;0
2.400000;6;1800;1.090580;66;1000;0;66;0;0;0;0;0
2.600000;6;1800;1.090580;28;1000;0;28;0;0;0;0;0
2.800000;6;1800;1.090580;3;1000;0;3;0;0;0;0;0
