SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
2.000000;10;2712;1.641304;502;502;501;502;0;501;0;0;0
2.200000;10;2712;1.641304;502;502;493;502;0;493;0;0;0
2.400000;10;2712;1.641304;502;502;478;502;0;478;0;0;0
2.600000;10;2712;1.641304;502;502;381;502;0;381;0;0;0
2.800000;10;2712;1.641304;502;502;222;502;0;222;0;0;0
3.000000;10;2712;1.641304;502;502;77;502;0;77;0;0;0
3.200000;10;2712;1.641304;502;502;20;502;0;20;0;0;0
3.400000;10;2712;1.641304;502;502;4;502;0;4;0;0;0
3.600000;10;2712;1.641304;502;502;4;502;0;4;0;0;0
3.800000;10;2712;1.641304;502;502;0;502;0;0;0;0;0
4.000000;10;2712;1.641304;502;502;0;502;0;0;0;0;0
4.200000;10;2712;1.641304;501;502;0;501;0;0;0;0;0
4.400000;10;2712;1.641304;500;502;0;500;0;0;0;0;0
4.600000;10;2712;1.641304;471;502;0;471;0;0;0;0;0
4.800000;10;2712;1.641304;419;502;0;419;0;0;0;0;0
5.000000;10;2712;1.641304;300;502;0;300;0;0;0;0;0
5.200000;10;2712;1.641304;179;502;0;179;0;0;0;0;0
5.400000;10;2712;1.641304;100;682;0;100;0;0;0;0;0
5.600000;10;2712;1.641304;52;1000;0;52;0;0;0;0;0
5.800000;10;2712;1.641304;6;1000;0;6;0;0;0;0;0
