SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
-6.000000;2;744;0.452899;502;502;502;502;496;502;236;496;0
-5.800000;2;744;0.452899;502;502;502;502;457;502;128;457;0
-5.600000;2;744;0.452899;502;502;502;502;428;502;58;428;0
-5.400000;2;744;0.452899;502;502;502;502;313;502;12;313;0
-5.200000;2;744;0.452899;502;502;500;502;200;500;2;200;0
-5.000000;2;744;0.452899;502;502;495;502;119;495;0;119;0
-4.800000;2;744;0.452899;502;502;488;502;59;488;0;59;0
-4.600000;2;744;0.452899;502;502;445;502;23;445;0;23;0
-4.400000;2;744;0.452899;502;502;387;502;10;387;0;10;0
-4.200000;2;744;0.452899;502;502;305;502;2;305;0;2;0
-4.000000;2;744;0.452899;502;502;213;502;0;213;0;0;0
-3.800000;2;744;0.452899;502;502;158;502;0;158;0;0;0
-3.600000;2;744;0.452899;502;502;74;502;0;74;0;0;0
-3.400000;2;744;0.452899;502;502;29;502;0;29;0;0;0
-3.200000;2;744;0.452899;502;502;11;502;0;11;0;0;0
-3.000000;2;744;0.452899;496;502;3;496;0;3;0;0;0
-2.800000;2;744;0.452899;487;502;1;487;0;1;0;0;0
-2.600000;2;744;0.452899;460;502;0;460;0;0;0;0;0
-2.400000;2;744;0.452899;439;502;0;439;0;0;0;0;0
-2.200000;2;744;0.452899;367;502;0;367;0;0;0;0;0
-2.000000;2;744;0.452899;283;502;0;283;0;0;0;0;0
-1.800000;2;744;0.452899;191;502;0;191;0;0;0;0;0
-1.600000;2;744;0.452899;140;502;0;140;0;0;0;0;0
-1.400000;2;744;0.452899;100;551;0;100;0;0;0;0;0
-1.200000;2;744;0.452899;72;1000;0;72;0;0;0;0;0
-1.000000;2;744;0.452899;28;1000;0;28;0;0;0;0;0
-0.800000;2;744;0.452899;22;1000;0;22;0;0;0;0;0
-0.600000;2;744;0.452899;4;1000;0;4;0;0;0;0;0
