SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
0.000000;8;2424;1.467391;502;502;502;502;8;502;0;8;0
0.200000;8;2424;1.467391;502;502;502;502;2;502;0;2;0
0.400000;8;2424;1.467391;502;502;499;502;0;499;0;0;0
0.600000;8;2424;1.467391;502;502;489;502;0;489;0;0;0
0.800000;8;2424;1.467391;502;502;447;502;0;447;0;0;0
1.000000;8;2424;1.467391;502;502;375;502;0;375;0;0;0
1.200000;8;2424;1.467391;502;502;251;502;0;251;0;0;0
1.400000;8;2424;1.467391;502;502;164;502;0;164;0;0;0
1.600000;8;2424;1.467391;502;502;76;502;0;76;0;0;0
1.800000;8;2424;1.467391;502;502;20;502;0;20;0;0;0
2.000000;8;2424;1.467391;502;502;9;502;0;9;0;0;0
2.200000;8;2424;1.467391;502;502;2;502;0;2;0;0;0
2.400000;8;2424;1.467391;502;502;0;502;0;0;0;0;0
2.600000;8;2424;1.467391;502;502;0;502;0;0;0;0;0
2.800000;8;2424;1.467391;501;502;0;501;0;0;0;0;0
3.000000;8;2424;1.467391;497;502;0;497;0;0;0;0;0
3.200000;8;2424;1.467391;474;502;0;474;0;0;0;0;0
3.400000;8;2424;1.467391;433;502;0;433;0;0;0;0;0
3.600000;8;2424;1.467391;367;502;0;367;0;0;0;0;0
3.800000;8;2424;1.467391;257;502;0;257;0;0;0;0;0
4.000000;8;2424;1.467391;170;502;0;170;0;0;0;0;0
4.200000;8;2424;1.467391;100;523;0;100;0;0;0;0;0
4.400000;8;2424;1.467391;77;1000;0;77;0;0;0;0;0
4.600000;8;2424;1.467391;32;1000;0;32;0;0;0;0;0
4.800000;8;2424;1.467391;6;1000;0;6;0;0;0;0;0
