SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
9.000000;17;5224;3.155797;502;502;216;502;0;216;0;0;0
9.200000;17;5224;3.155797;502;502;78;502;0;78;0;0;0
9.400000;17;5224;3.155797;502;502;21;502;0;21;0;0;0
9.600000;17;5224;3.155797;502;502;9;502;0;9;0;0;0
9.800000;17;5224;3.155797;502;502;2;502;0;2;0;0;0
10.000000;17;5224;3.155797;502;502;0;502;0;0;0;0;0
10.200000;17;5224;3.155797;502;502;0;502;0;0;0;0;0
10.400000;17;5224;3.155797;502;502;0;502;0;0;0;0;0
10.600000;17;5224;3.155797;502;502;0;502;0;0;0;0;0
10.800000;17;5224;3.155797;499;502;0;499;0;0;0;0;0
11.000000;17;5224;3.155797;479;502;0;479;0;0;0;0;0
11.200000;17;5224;3.155797;442;502;0;442;0;0;0;0;0
11.400000;17;5224;3.155797;322;502;0;322;0;0;0;0;0
11.600000;17;5224;3.155797;176;502;0;176;0;0;0;0;0
11.800000;17;5224;3.155797;100;641;0;100;0;0;0;0;0
12.000000;17;5224;3.155797;59;1000;0;59;0;0;0;0;0
12.200000;17;5224;3.155797;8;1000;0;8;0;0;0;0;0
