SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
10.000000;18;5608;3.387681;502;502;496;502;0;496;0;0;0
10.200000;18;5608;3.387681;502;502;479;502;0;479;0;0;0
10.400000;18;5608;3.387681;502;502;394;502;0;394;0;0;0
10.600000;18;5608;3.387681;502;502;274;502;0;274;0;0;0
10.800000;18;5608;3.387681;502;502;134;502;0;134;0;0;0
11.000000;18;5608;3.387681;502;502;44;502;0;44;0;0;0
11.200000;18;5608;3.387681;502;502;10;502;0;10;0;0;0
11.400000;18;5608;3.387681;502;502;3;502;0;3;0;0;0
11.600000;18;5608;3.387681;502;502;0;502;0;0;0;0;0
11.800000;18;5608;3.387681;502;502;0;502;0;0;0;0;0
12.000000;18;5608;3.387681;502;502;0;502;0;0;0;0;0
12.200000;18;5608;3.387681;502;502;0;502;0;0;0;0;0
12.400000;18;5608;3.387681;502;502;0;502;0;0;0;0;0
12.600000;18;5608;3.387681;495;502;0;495;0;0;0;0;0
12.800000;18;5608;3.387681;472;502;0;472;0;0;0;0;0
13.000000;18;5608;3.387681;401;502;0;401;0;0;0;0;0
13.200000;18;5608;3.387681;285;502;0;285;0;0;0;0;0
13.400000;18;5608;3.387681;149;502;0;149;0;0;0;0;0
13.600000;18;5608;3.387681;100;799;0;100;0;0;0;0;0
13.800000;18;5608;3.387681;43;1000;0;43;0;0;0;0;0
14.000000;18;5608;3.387681;14;1000;0;14;0;0;0;0;0
14.200000;18;5608;3.387681;0;1000;0;0;0;0;0;0;0
