SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
-8.000000;0;456;0.278986;502;502;502;502;502;502;474;502;0
-7.800000;0;456;0.278986;502;502;502;502;500;502;446;500;0
-7.600000;0;456;0.278986;502;502;502;502;497;502;404;497;0
-7.400000;0;456;0.278986;502;502;502;502;492;502;343;492;0
-7.200000;0;456;0.278986;502;502;502;502;475;502;267;475;0
-7.000000;0;456;0.278986;502;502;502;502;449;502;145;449;0
-6.800000;0;456;0.278986;502;502;502;502;388;502;71;388;0
-6.600000;0;456;0.278986;502;502;499;502;267;499;23;267;0
-6.400000;0;456;0.278986;502;502;494;502;187;494;8;187;0
-6.200000;0;456;0.278986;502;502;472;502;97;472;2;97;0
-6.000000;0;456;0.278986;502;502;437;502;45;437;0;45;0
-5.800000;0;456;0.278986;502;502;375;502;13;375;0;13;0
-5.600000;0;456;0.278986;502;502;273;502;4;273;0;4;0
-5.400000;0;456;0.278986;502;502;217;502;2;217;0;2;0
-5.200000;0;456;0.278986;502;502;122;502;0;122;0;0;0
-5.000000;0;456;0.278986;502;502;75;502;0;75;0;0;0
-4.800000;0;456;0.278986;499;502;43;499;0;43;0;0;0
-4.600000;0;456;0.278986;492;502;19;492;0;19;0;0;0
-4.400000;0;456;0.278986;491;502;3;491;0;3;0;0;0
-4.200000;0;456;0.278986;458;502;2;458;0;2;0;0;0
-4.000000;0;456;0.278986;432;502;1;432;0;1;0;0;0
-3.800000;0;456;0.278986;371;502;0;371;0;0;0;0;0
-3.600000;0;456;0.278986;320;502;0;320;0;0;0;0;0
-3.400000;0;456;0.278986;198;502;0;198;0;0;0;0;0
-3.200000;0;456;0.278986;163;502;0;163;0;0;0;0;0
-3.000000;0;456;0.278986;104;502;0;104;0;0;0;0;0
-2.800000;0;456;0.278986;100;995;0;100;0;0;0;0;0
-2.600000;0;456;0.278986;60;1000;0;60;0;0;0;0;0
-2.400000;0;456;0.278986;22;1000;0;22;0;0;0;0;0
-2.200000;0;456;0.278986;6;1000;0;6;0;0;0;0;0
