SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-5.000000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-4.800000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-4.600000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-4.400000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-4.200000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-4.000000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-3.800000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-3.600000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-3.400000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-3.200000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-3.000000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-2.800000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-2.600000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-2.400000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-2.200000;5;2216;0.359974;502;502;0;0;0;0;0;0;0
-2.000000;5;2216;0.359974;496;502;0;0;0;0;0;0;0
-1.800000;5;2216;0.359974;474;502;0;0;0;0;0;0;0
-1.600000;5;2216;0.359974;405;502;0;0;0;0;0;0;0
-1.400000;5;2216;0.359974;276;502;0;0;0;0;0;0;0
-1.200000;5;2216;0.359974;109;502;0;0;0;0;0;0;0
-1.000000;5;2216;0.359974;68;1000;0;0;0;0;0;0;0
-0.800000;5;2216;0.359974;10;1000;0;0;0;0;0;0;0
-0.600000;5;2216;0.359974;0;1000;0;0;0;0;0;0;0
