SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
5.000000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
5.200000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
5.400000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
5.600000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
5.800000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
6.000000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
6.200000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
6.400000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
6.600000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
6.800000;16;7736;0.628330;502;502;0;0;0;0;0;0;0
7.000000;16;7736;0.628330;497;502;0;0;0;0;0;0;0
7.200000;16;7736;0.628330;427;502;0;0;0;0;0;0;0
7.400000;16;7736;0.628330;268;502;0;0;0;0;0;0;0
7.600000;16;7736;0.628330;100;514;0;0;0;0;0;0;0
7.800000;16;7736;0.628330;45;1000;0;0;0;0;0;0;0
8.000000;16;7736;0.628330;8;1000;0;0;0;0;0;0;0
