SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-10.000000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-9.800000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-9.600000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-9.400000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-9.200000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-9.000000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-8.800000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-8.600000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-8.400000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-8.200000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-8.000000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-7.800000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-7.600000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-7.400000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-7.200000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-7.000000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-6.800000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-6.600000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-6.400000;0;680;0.110461;502;502;0;0;0;0;0;0;0
-6.200000;0;680;0.110461;491;502;0;0;0;0;0;0;0
-6.000000;0;680;0.110461;477;502;0;0;0;0;0;0;0
-5.800000;0;680;0.110461;424;502;0;0;0;0;0;0;0
-5.600000;0;680;0.110461;367;502;0;0;0;0;0;0;0
-5.400000;0;680;0.110461;240;502;0;0;0;0;0;0;0
-5.200000;0;680;0.110461;140;502;0;0;0;0;0;0;0
-5.000000;0;680;0.110461;100;699;0;0;0;0;0;0;0
-4.800000;0;680;0.110461;52;1000;0;0;0;0;0;0;0
-4.600000;0;680;0.110461;18;1000;0;0;0;0;0;0;0
-4.400000;0;680;0.110461;3;1000;0;0;0;0;0;0;0
