SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
11.000000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
11.200000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
11.400000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
11.600000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
11.800000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
12.000000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
12.200000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
12.400000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
12.600000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
12.800000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
13.000000;23;12576;0.680962;502;502;0;0;0;0;0;0;0
13.200000;23;12576;0.680962;499;502;0;0;0;0;0;0;0
13.400000;23;12576;0.680962;462;502;0;0;0;0;0;0;0
13.600000;23;12576;0.680962;345;502;0;0;0;0;0;0;0
13.800000;23;12576;0.680962;182;502;0;0;0;0;0;0;0
14.000000;23;12576;0.680962;100;758;0;0;0;0;0;0;0
14.200000;23;12576;0.680962;30;1000;0;0;0;0;0;0;0
14.400000;23;12576;0.680962;7;1000;0;0;0;0;0;0;0
