SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
0.000000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
0.200000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
0.400000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
0.600000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
0.800000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
1.000000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
1.200000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
1.400000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
1.600000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
1.800000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
2.000000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
2.200000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
2.400000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
2.600000;11;4392;0.356725;502;502;0;0;0;0;0;0;0
2.800000;11;4392;0.356725;477;502;0;0;0;0;0;0;0
3.000000;11;4392;0.356725;346;502;0;0;0;0;0;0;0
3.200000;11;4392;0.356725;129;502;0;0;0;0;0;0;0
3.400000;11;4392;0.356725;61;1000;0;0;0;0;0;0;0
3.600000;11;4392;0.356725;5;1000;0;0;0;0;0;0;0
