SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
7.000000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
7.200000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
7.400000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
7.600000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
7.800000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
8.000000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
8.200000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
8.400000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
8.600000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
8.800000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
9.000000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
9.200000;19;9144;0.495127;502;502;0;0;0;0;0;0;0
9.400000;19;9144;0.495127;501;502;0;0;0;0;0;0;0
9.600000;19;9144;0.495127;485;502;0;0;0;0;0;0;0
9.800000;19;9144;0.495127;356;502;0;0;0;0;0;0;0
10.000000;19;9144;0.495127;188;502;0;0;0;0;0;0;0
10.200000;19;9144;0.495127;100;914;0;0;0;0;0;0;0
10.400000;19;9144;0.495127;11;1000;0;0;0;0;0;0;0
10.600000;19;9144;0.495127;0;1000;0;0;0;0;0;0;0
