SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-2.000000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-1.800000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-1.600000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-1.400000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-1.200000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-1.000000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-0.800000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-0.600000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-0.400000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-0.200000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
-0.000000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
0.200000;8;3496;0.567901;502;502;0;0;0;0;0;0;0
0.400000;8;3496;0.567901;501;502;0;0;0;0;0;0;0
0.600000;8;3496;0.567901;474;502;0;0;0;0;0;0;0
0.800000;8;3496;0.567901;361;502;0;0;0;0;0;0;0
1.000000;8;3496;0.567901;189;502;0;0;0;0;0;0;0
1.200000;8;3496;0.567901;97;1000;0;0;0;0;0;0;0
1.400000;8;3496;0.567901;19;1000;0;0;0;0;0;0;0
1.600000;8;3496;0.567901;1;1000;0;0;0;0;0;0;0
