SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
8.000000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
8.200000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
8.400000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
8.600000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
8.800000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
9.000000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
9.200000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
9.400000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
9.600000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
9.800000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
10.000000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
10.200000;20;9912;0.536712;502;502;0;0;0;0;0;0;0
10.400000;20;9912;0.536712;495;502;0;0;0;0;0;0;0
10.600000;20;9912;0.536712;413;502;0;0;0;0;0;0;0
10.800000;20;9912;0.536712;255;502;0;0;0;0;0;0;0
11.000000;20;9912;0.536712;100;596;0;0;0;0;0;0;0
11.200000;20;9912;0.536712;35;1000;0;0;0;0;0;0;0
11.400000;20;9912;0.536712;3;1000;0;0;0;0;0;0;0
