SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
1.000000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
1.200000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
1.400000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
1.600000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
1.800000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
2.000000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
2.200000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
2.400000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
2.600000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
2.800000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
3.000000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
3.200000;12;4968;0.403509;502;502;0;0;0;0;0;0;0
3.400000;12;4968;0.403509;501;502;0;0;0;0;0;0;0
3.600000;12;4968;0.403509;472;502;0;0;0;0;0;0;0
3.800000;12;4968;0.403509;333;502;0;0;0;0;0;0;0
4.000000;12;4968;0.403509;115;502;0;0;0;0;0;0;0
4.200000;12;4968;0.403509;45;1000;0;0;0;0;0;0;0
4.400000;12;4968;0.403509;9;1000;0;0;0;0;0;0;0
