SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-1.000000;7;2792;1.011594;388;502;169;388;18;169;2;18;0
0.000000;7;2792;1.011594;334;502;93;334;6;93;0;6;0
1.000000;7;2792;1.011594;281;502;44;281;1;44;1;1;0
2.000000;7;2792;1.011594;197;502;17;197;1;17;0;1;0
3.000000;7;2792;1.011594;153;502;5;153;0;5;0;0;0
4.000000;7;2792;1.011594;111;502;3;111;0;3;0;0;0
5.000000;7;2792;1.011594;100;722;0;100;0;0;0;0;0
6.000000;7;2792;1.011594;75;1000;0;75;0;0;0;0;0
7.000000;7;2792;1.011594;49;1000;0;49;0;0;0;0;0
8.000000;7;2792;1.011594;16;1000;0;16;0;0;0;0;0
9.000000;7;2792;1.011594;15;1000;0;15;0;0;0;0;0
10.000000;7;2792;1.011594;6;1000;0;6;0;0;0;0;0
