SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
3.000000;11;4008;1.452174;303;502;66;303;1;66;0;1;0
4.000000;11;4008;1.452174;231;502;44;231;0;44;0;0;0
5.000000;11;4008;1.452174;159;502;13;159;1;13;0;1;0
6.000000;11;4008;1.452174;147;502;7;147;0;7;0;0;0
7.000000;11;4008;1.452174;100;600;4;100;0;4;0;0;0
8.000000;11;4008;1.452174;100;784;1;100;0;1;0;0;0
9.000000;11;4008;1.452174;52;1000;1;52;0;1;0;0;0
10.000000;11;4008;1.452174;26;1000;0;26;0;0;0;0;0
11.000000;11;4008;1.452174;16;1000;0;16;0;0;0;0;0
12.000000;11;4008;1.452174;8;1000;0;8;0;0;0;0;0
