SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
8.000000;16;6968;2.524638;316;502;55;316;1;55;0;1;0
9.000000;16;6968;2.524638;250;502;17;250;0;17;0;0;0
10.000000;16;6968;2.524638;228;502;7;228;0;7;0;0;0
11.000000;16;6968;2.524638;142;502;4;142;0;4;0;0;0
12.000000;16;6968;2.524638;125;502;1;125;0;1;0;0;0
13.000000;16;6968;2.524638;100;713;0;100;0;0;0;0;0
14.000000;16;6968;2.524638;75;1000;0;75;0;0;0;0;0
15.000000;16;6968;2.524638;45;1000;1;45;0;1;0;0;0
16.000000;16;6968;2.524638;48;1000;0;48;0;0;0;0;0
17.000000;16;6968;2.524638;25;1000;0;25;0;0;0;0;0
18.000000;16;6968;2.524638;21;1000;0;21;0;0;0;0;0
19.000000;16;6968;2.524638;9;1000;0;9;0;0;0;0;0
