SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
2.000000;10;3624;1.313043;323;502;93;323;5;93;0;5;0
3.000000;10;3624;1.313043;264;502;49;264;1;49;0;1;0
4.000000;10;3624;1.313043;188;502;15;188;1;15;0;1;0
5.000000;10;3624;1.313043;130;502;3;130;0;3;0;0;0
6.000000;10;3624;1.313043;100;539;4;100;0;4;0;0;0
7.000000;10;3624;1.313043;100;879;0;100;0;0;0;0;0
8.000000;10;3624;1.313043;51;1000;0;51;0;0;0;0;0
9.000000;10;3624;1.313043;42;1000;0;42;0;0;0;0;0
10.000000;10;3624;1.313043;8;1000;0;8;0;0;0;0;0
