SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
19.000000;27;14688;5.321739;420;502;152;420;0;152;0;0;0
20.000000;27;14688;5.321739;399;502;108;399;0;108;0;0;0
21.000000;27;14688;5.321739;377;502;83;377;0;83;0;0;0
22.000000;27;14688;5.321739;337;502;70;337;0;70;0;0;0
23.000000;27;14688;5.321739;319;502;62;319;0;62;0;0;0
24.000000;27;14688;5.321739;321;502;51;321;0;51;0;0;0
25.000000;27;14688;5.321739;295;502;41;295;0;41;0;0;0
26.000000;27;14688;5.321739;280;502;28;280;0;28;0;0;0
27.000000;27;14688;5.321739;278;502;38;278;0;38;0;0;0
28.000000;27;14688;5.321739;260;502;31;260;0;31;0;0;0
29.000000;27;14688;5.321739;260;502;31;260;0;31;0;0;0
30.000000;27;14688;5.321739;240;502;33;240;0;33;0;0;0
31.000000;27;14688;5.321739;214;502;26;214;0;26;0;0;0
32.000000;27;14688;5.321739;237;502;29;237;0;29;0;0;0
33.000000;27;14688;5.321739;226;502;36;226;0;36;0;0;0
34.000000;27;14688;5.321739;215;502;33;215;0;33;0;0;0
35.000000;27;14688;5.321739;214;502;40;214;0;40;0;0;0
36.000000;27;14688;5.321739;222;502;34;222;0;34;0;0;0
37.000000;27;14688;5.321739;233;502;32;233;0;32;0;0;0
38.000000;27;14688;5.321739;212;502;21;212;0;21;0;0;0
